"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Banking Application","Customer","Вход в аккаунт","0","0","1","0","0"
"Authentication","Login Page","Проверка полей ввода","0","0","1","0","0"
"Banking Application","Account","Успешное снятие средств","0","0","1","0","0"
"Banking Application","Sample Form","Успешная регистрация","0","0","1","0","0"
"Authentication","Login Page","Проверка успешной авторизации","0","0","1","0","0"
"Home Page","Home","","0","0","0","5","0"
"Banking Application","Account","Проверка баланса","1","0","0","0","0"
"Authentication","Login Page","Проверка авторизации с невалидными данными","0","0","1","0","0"
"Banking Application","Account","Успешное пополнение счета","0","0","1","0","0"
"Banking Application","Bank Manager","Добавление клиента","0","0","1","0","0"
"Banking Application","Account","Поиск и удаление покупателя","0","0","1","0","0"
"Banking Application","Account","Очистка истории транзакций","0","0","1","0","0"
"Banking Application","Bank Manager","Открытие счета","0","0","1","0","0"
"Banking Application","Account","Неуспешное снятие средств","0","0","1","0","0"
"Authentication","Login Page","Проверка успешного выхода из учётной записи","1","0","0","0","0"
"Banking Application","Account","Снятие оставшихся средств","0","0","1","0","0"
"Banking Application","Account","Неуспешное пополнение счета","0","0","1","0","0"
